,url,nameAndUniverse
157,http://marvel.wikia.com/wiki/Abu_Dakir_(Earth-616),Abu Dakir (Earth-616)
158,http://marvel.wikia.com/wiki/Abu_Ho_Dadi_(Earth-616),Abu Ho Dadi (Earth-616)
159,http://marvel.wikia.com/wiki/Abu_Mussan_(Earth-616),Abu Mussan (Earth-616)
160,http://marvel.wikia.com/wiki/Abu_M%C5%ABs%C4%81_J%C4%81bir_ibn_Hayy%C4%81n_al-Azdi_(Earth-616),Abu Mūsā Jābir ibn Hayyān al-Azdi (Earth-616)
161,http://marvel.wikia.com/wiki/Abu-Ben_Ar_(Earth-616),Abu-Ben Ar (Earth-616)
162,http://marvel.wikia.com/wiki/Abu-Jamal_Rodriguez_(Earth-616),Abu-Jamal Rodriguez (Earth-616)
163,http://marvel.wikia.com/wiki/Abwama_(Earth-616),Abwama (Earth-616)
164,http://marvel.wikia.com/wiki/Abyss_(Earth-616),Abyss (Earth-616)
165,http://marvel.wikia.com/wiki/Abyss_(Entity)_(Earth-616),Abyss (Entity) (Earth-616)
166,http://marvel.wikia.com/wiki/Abyss_(Ex_Nihilo%27s)_(Earth-616),Abyss (Ex Nihilo's) (Earth-616)
167,http://marvel.wikia.com/wiki/Abysss_(Earth-616),Abysss (Earth-616)
168,http://marvel.wikia.com/wiki/AC-DC_(Earth-616),AC-DC (Earth-616)
169,http://marvel.wikia.com/wiki/Acari_(Earth-616),Acari (Earth-616)
170,http://marvel.wikia.com/wiki/Acba_(Earth-616),Acba (Earth-616)
171,http://marvel.wikia.com/wiki/Accolon_(Earth-616),Accolon (Earth-616)
172,http://marvel.wikia.com/wiki/Ace_(Earth-616),Ace (Earth-616)
173,http://marvel.wikia.com/wiki/Ace_(G.R.A.M.P.A)_(Earth-616),Ace (G.R.A.M.P.A) (Earth-616)
174,http://marvel.wikia.com/wiki/Ace_(Pilot)_(Earth-616),Ace (Pilot) (Earth-616)
175,http://marvel.wikia.com/wiki/Ace_Fenton_(Earth-616),Ace Fenton (Earth-616)
176,http://marvel.wikia.com/wiki/Ace_Maxwell_(Earth-616),Ace Maxwell (Earth-616)
177,http://marvel.wikia.com/wiki/Ace_Spencer_(Earth-616),Ace Spencer (Earth-616)
178,http://marvel.wikia.com/wiki/Ace_Turmbull_(Earth-616),Ace Turmbull (Earth-616)
179,http://marvel.wikia.com/wiki/Aces_Wilde_(Earth-616),Aces Wilde (Earth-616)
180,http://marvel.wikia.com/wiki/Achak_(Earth-616),Achak (Earth-616)
181,http://marvel.wikia.com/wiki/Achebe_(Earth-616),Achebe (Earth-616)
182,http://marvel.wikia.com/wiki/Achelous_(Earth-616),Achelous (Earth-616)
183,http://marvel.wikia.com/wiki/Achille_DiBacco_(Earth-616),Achille DiBacco (Earth-616)
184,http://marvel.wikia.com/wiki/Achilles_(Earth-616),Achilles (Earth-616)
185,http://marvel.wikia.com/wiki/Achilles_(Helmut)_(Earth-616),Achilles (Helmut) (Earth-616)
186,http://marvel.wikia.com/wiki/Achlemedes_(Earth-616),Achlemedes (Earth-616)
187,http://marvel.wikia.com/wiki/Achmar_(Earth-616),Achmar (Earth-616)
188,http://marvel.wikia.com/wiki/Achmed_El_Gib%C3%A1r_(Earth-616),Achmed El Gibár (Earth-616)
189,http://marvel.wikia.com/wiki/Achmed_Korba_(Earth-616),Achmed Korba (Earth-616)
190,http://marvel.wikia.com/wiki/Acidroid_(Earth-616),Acidroid (Earth-616)
191,http://marvel.wikia.com/wiki/Acrobat_(1940s)_(Earth-616),Acrobat (1940s) (Earth-616)
192,http://marvel.wikia.com/wiki/Acrobat_(Spider-Squad)_(Earth-616),Acrobat (Spider-Squad) (Earth-616)
193,http://marvel.wikia.com/wiki/Acroyear_(Earth-616),Acroyear (Earth-616)
194,http://marvel.wikia.com/wiki/Actor_(Greek)_(Earth-616),Actor (Greek) (Earth-616)
195,http://marvel.wikia.com/wiki/Actor_(Spy)_(Earth-616),Actor (Spy) (Earth-616)
196,http://marvel.wikia.com/wiki/Aculdi_(Earth-616),Aculdi (Earth-616)
197,http://marvel.wikia.com/wiki/Ada_(Earth-616),Ada (Earth-616)
198,http://marvel.wikia.com/wiki/Ada_Lovelace_(Earth-616),Ada Lovelace (Earth-616)
199,http://marvel.wikia.com/wiki/Category:Male_Characters,"[+]  Male Characters‎ (1 C, 42,623 P)

"
200,http://marvel.wikia.com/wiki/Adahm_(Earth-616),Adahm (Earth-616)
201,http://marvel.wikia.com/wiki/Adai_(Earth-616),Adai (Earth-616)
202,http://marvel.wikia.com/wiki/Adam_(Earth-616),Adam (Earth-616)
203,http://marvel.wikia.com/wiki/Adam_Able_(Earth-616),Adam Able (Earth-616)
204,http://marvel.wikia.com/wiki/Adam_Austin_(Earth-616),Adam Austin (Earth-616)
205,http://marvel.wikia.com/wiki/Adam_Berman_(Earth-616),Adam Berman (Earth-616)
206,http://marvel.wikia.com/wiki/Adam_Blackveil_(Earth-616),Adam Blackveil (Earth-616)
207,http://marvel.wikia.com/wiki/Adam_Brashear_(Earth-616),Adam Brashear (Earth-616)
208,http://marvel.wikia.com/wiki/Adam_Brigman_(Earth-616),Adam Brigman (Earth-616)
209,http://marvel.wikia.com/wiki/Adam_Casim_(Earth-616),Adam Casim (Earth-616)
210,http://marvel.wikia.com/wiki/Adam_Clayton_(Earth-616),Adam Clayton (Earth-616)
211,http://marvel.wikia.com/wiki/Adam_Crown_(Earth-616),Adam Crown (Earth-616)
212,http://marvel.wikia.com/wiki/Adam_Destine_(Earth-616),Adam Destine (Earth-616)
213,http://marvel.wikia.com/wiki/Adam_Essex_(Earth-616),Adam Essex (Earth-616)
214,http://marvel.wikia.com/wiki/Adam_Fisher_(Earth-616),Adam Fisher (Earth-616)
215,http://marvel.wikia.com/wiki/Adam_Gulliver_(Earth-616),Adam Gulliver (Earth-616)
216,http://marvel.wikia.com/wiki/Adam_Harkins_(Earth-616),Adam Harkins (Earth-616)
217,http://marvel.wikia.com/wiki/Adam_Hitt_(Earth-616),Adam Hitt (Earth-616)
218,http://marvel.wikia.com/wiki/Adam_II_(Earth-616),Adam II (Earth-616)
219,http://marvel.wikia.com/wiki/Adam_K%27ad-Mon_(Earth-616),Adam K'ad-Mon (Earth-616)
220,http://marvel.wikia.com/wiki/Adam_Kipiniak_(Earth-616),Adam Kipiniak (Earth-616)
221,http://marvel.wikia.com/wiki/Adam_Mann_(Earth-616),Adam Mann (Earth-616)
222,http://marvel.wikia.com/wiki/Adam_Manna_(Earth-616),Adam Manna (Earth-616)
223,http://marvel.wikia.com/wiki/Adam_Neramani_(Earth-616),Adam Neramani (Earth-616)
224,http://marvel.wikia.com/wiki/Adam_Peters_(Earth-616),Adam Peters (Earth-616)
225,http://marvel.wikia.com/wiki/Adam_Roderick_(Earth-616),Adam Roderick (Earth-616)
226,http://marvel.wikia.com/wiki/Adam_Simon_(Earth-616),Adam Simon (Earth-616)
227,http://marvel.wikia.com/wiki/Adam_Torchia_(Earth-616),Adam Torchia (Earth-616)
228,http://marvel.wikia.com/wiki/Adam_Warlock_(Earth-616),Adam Warlock (Earth-616)
229,http://marvel.wikia.com/wiki/Adam_Wright_(Earth-616),Adam Wright (Earth-616)
230,http://marvel.wikia.com/wiki/Adamantine_(Earth-616),Adamantine (Earth-616)
231,http://marvel.wikia.com/wiki/Addison_Blackburn_(Earth-616),Addison Blackburn (Earth-616)
232,http://marvel.wikia.com/wiki/Addison_Falk_(Earth-616),Addison Falk (Earth-616)
233,http://marvel.wikia.com/wiki/Adelbert_Greywing_(Earth-616),Adelbert Greywing (Earth-616)
234,http://marvel.wikia.com/wiki/Adele_Hawthorne_(Earth-616),Adele Hawthorne (Earth-616)
235,http://marvel.wikia.com/wiki/Adele_Racine_(Earth-616),Adele Racine (Earth-616)
236,http://marvel.wikia.com/wiki/Adele_Santiago_(Earth-616),Adele Santiago (Earth-616)
237,http://marvel.wikia.com/wiki/Adelicia_von_Krupp_(Earth-616),Adelicia von Krupp (Earth-616)
238,http://marvel.wikia.com/wiki/Adelynn_Duquesne_(Earth-616),Adelynn Duquesne (Earth-616)
